#{"t_start": 1623249791.5489566, "env_id": "quadruped-v1"}
r,l,t,reward_velocity,reward_energy,reward_distance,reward,penalty
153.583786,128,57.407243,0.9999974023227708,0.9165086216523186,0.2224384378062296,2.138944461781319,0.0
199.68879,128,117.452145,0.9999998521831579,0.9934786040233938,0.22796100714657525,2.2214394633531267,0.0
243.603364,128,188.199687,0.9999708526298245,0.9555593609277696,0.38682688334166393,2.342357096899258,0.0
242.247727,128,259.157224,0.9999984198487911,0.916694089968935,0.22638590751719886,2.143078417334925,0.0
0.151799,1,260.541336,4.400068382197395e-12,0.08387558040174539,0.06792369504107924,0.1517992754472247,0.0
280.162992,128,335.495104,0.9999959603930905,0.9086703525108345,0.290270886726773,2.198937199630698,0.0
246.585182,128,409.764196,0.999998441861793,0.9166940899887599,0.09990677249592947,2.0165993043464825,0.0
246.206279,128,480.885606,0.9974200642628168,0.9531279341251035,0.08040852162249941,2.03095652001042,0.0
270.334981,128,560.754548,0.9999984199282342,0.9166940844764987,0.19811475359667943,2.1148072580014126,0.0
247.007463,128,639.862166,0.9999986208314878,0.9166940864492333,0.25866468568823825,2.1753573929689596,0.0
259.748582,128,720.187613,0.9999882584742865,0.9553813450023131,0.0846888616690095,2.0400584651456093,0.0
259.716908,128,800.65732,0.9999989485768624,0.9754579305793862,0.14013167367093557,2.1155885528271843,0.0
247.978716,128,882.138268,0.9963562887652475,0.9519321471470237,0.09491450457364027,2.0432029404859113,0.0
263.013859,128,969.344802,0.9999985756814657,0.9166940871060776,0.38776980183369075,2.304462464621234,0.0
254.966043,128,1056.762416,0.9999988280715904,0.9691985994526873,0.10673283401588943,2.075930261540167,0.0
271.295392,128,1141.493336,0.002764485321073653,1.5610366483690233e-07,0.3232291305072329,0.3259937719319714,0.0
246.314516,128,1228.442147,0.9999989995944953,0.9562189035463498,0.212146440719044,2.1683643438598894,0.0
238.789974,128,1316.782118,0.9999984745705944,0.9166940895037718,0.08432158440340186,2.0010141484777684,0.0
254.902059,128,1405.770334,0.9999994596884195,0.9166940897680049,0.18572430355287564,2.1024178530093,0.0
293.826892,128,1498.499237,0.9999985566563949,0.916694089804291,0.38895139792454986,2.305644044385236,0.0
327.202925,128,1590.268399,0.9999992031576848,0.9166940897704616,0.6375662022647023,2.5542594951928486,0.0
278.682516,128,1680.817642,0.9999992041045801,0.9166940897704616,0.2583260357165967,2.1750193295916382,0.0
256.890671,128,1769.268913,0.9999966195230303,0.9140528352796611,0.10784272439223527,2.0218921791949267,0.0
266.925644,128,1858.747606,0.9999992029931839,0.9166940897704595,0.1972526303273694,2.1139459230910127,0.0
271.920294,128,1944.30032,0.9945770190943569,0.9512681684993635,0.18114254015043343,2.126987727744154,0.0
260.767498,128,2029.446048,0.9999968663875358,0.915381730047388,0.13210058334735628,2.0474791797822802,0.0
301.692312,128,2119.481545,0.9999990131372953,0.9412854381405917,0.4405908073725926,2.3818752586504797,0.0
274.357092,128,2208.406384,0.99999750048513,0.932026198588476,0.23924894846571457,2.1712726475393205,0.0
262.8168,128,2299.516172,0.9999997000185503,0.9935481649016825,0.12085114715589342,2.1143990120761265,0.0
300.046863,128,2387.294251,0.9999964042413477,0.9138490420645948,0.45572275689067737,2.3695682031966196,0.0
264.269457,128,2476.997069,0.999999666972453,0.9921949790478379,0.1348415515410294,2.1270361975613206,0.0
242.94772,128,2565.993549,0.32185765640521424,0.03663764804009957,0.031829749578161,0.3903250540234748,0.0
262.205205,128,2653.392962,0.9997551847355438,0.9964310874883657,0.09868060193594744,2.094866874159857,0.0
261.92586,128,2745.561852,0.9999983639495895,0.916694084545184,0.1385093931605779,2.0552018416553515,0.0
260.039873,128,2831.966982,0.9999997535971198,0.9936503959479465,0.16164559009891596,2.1552957396439822,0.0
262.808827,128,2920.101738,0.9999997402791071,0.992101550230858,0.1359526970081815,2.128053987518147,0.0
257.539099,128,3001.520708,0.9629060956239235,0.949094714858328,0.08652875016183051,1.998529560644082,0.0
264.686026,128,3087.678605,0.9999997222734094,0.9927946155386025,0.13717561248436969,2.1299699502963816,0.0
246.618116,128,3176.669231,0.9995630268870187,0.996032885236209,0.1226305272008548,2.118226439324083,0.0
285.529358,128,3267.737496,0.9999987075693162,0.9166940417782363,0.3131822788159113,2.229875028163464,0.0
245.96623,128,3357.681513,0.9999982496495411,0.9166940903549906,0.053711883657287705,1.9704042236618196,0.0
256.95213,128,3452.942388,0.9993258781891281,0.9963660082923221,0.10601757330568273,2.101709459787133,0.0
290.883775,128,3548.669824,0.9999997032301846,0.9934479700947455,0.41728608853029053,2.4107337618552207,0.0
284.107993,128,3647.30862,0.9999966009307011,0.9137893107663476,0.3110561978348521,2.2248421095319006,0.0
266.528594,128,3751.625432,0.9999969931008076,0.9559163198833037,0.13838928660250474,2.0943025995866162,0.0
248.785599,128,3861.403024,0.9999984452000477,0.9166940844764987,0.0297104008115257,1.946402930488072,0.0
336.795504,128,3971.70997,0.9999990002936174,0.9562189035660791,0.6868161429221885,2.643034046781885,0.0
255.447835,128,4074.67519,0.9999984773291285,0.9166940898261583,0.07435791266779483,1.9910504798230817,0.0
323.990433,128,4184.044199,0.9999964269744197,0.9123586805110463,0.6081993393024753,2.5205544467879415,0.0
