#{"t_start": 1623412791.9106889, "env_id": "quadruped-v2"}
r,l,t,reward_velocity,reward_position,reward_energy,reward_ang_vel,reward_orientation,reward_contact,reward_ctrl,reward
1850.499694,3975,61.884326,0.09991129919655227,0.056381724941207315,0.029966884621006308,0.09738150474812857,0.04180535022286662,0.09842317976074481,0.10463588684797287,0.5285058303384788
4787.938185,7903,179.207778,0.09998076323781536,0.09409393001093737,0.07666966144408462,0.0999738163121337,0.03680770805304686,0.09842308597170046,0.11163221299648285,0.6175811780262012
1598.046192,2629,218.258333,0.09835114730577747,0.0796436775872584,0.04437176044694585,0.09972213525330725,0.03683680795743799,0.09842344285237356,0.08796702325344086,0.5453159946565413
2000.830483,3284,266.803301,0.09913400863039266,0.08542405184873636,0.07668209404196506,0.09920072627485174,0.03690928962864969,0.09842344571845757,0.10816888511180878,0.6039425012548618
2304.403337,3748,322.150766,0.09987557920166786,0.09424362929092203,0.0766563394231933,0.09418847072655517,0.043044357295730314,0.09842305687582033,0.13746151328086853,0.6438929460947576
1657.146838,2692,362.002666,0.09982848730631877,0.09347298112936679,0.0766467985320614,0.09998025287850085,0.03684673521122567,0.09842343854717289,0.10448446869850159,0.609683162303148
1475.530204,2478,398.55379,0.09555824916937669,0.056529180063793795,0.07668227028238625,0.09905786960166878,0.03697318120901444,0.09842345916425974,0.1129002571105957,0.5761244666010954
1541.468723,2650,437.897002,0.09841437920703461,0.0784955796235173,0.07668153028969431,0.0605325459984035,0.03786702398124894,0.09842344223354277,0.10285411775112152,0.553268619084563
6285.019969,10000,585.625512,0.0999734229088349,0.09391611192164384,0.07668221679359317,0.09982422719571749,0.036867133518789376,0.09842344535295366,0.11857813596725464,0.6242646936587872
1296.433122,2136,617.037582,0.09821885563696749,0.08170880564223659,0.07668229168080776,0.09799435324537845,0.0370358495329041,0.09842346187889843,0.11299269646406174,0.6030563140812545
1320.906086,2248,650.517138,0.0937218570706528,0.04755961014797184,0.0766823129182506,0.0998054565668765,0.03690927836948711,0.09842345717446178,0.07611561566591263,0.5292175879136132
2832.436919,4631,719.031673,0.09946408394595618,0.08669747136341768,0.07668231860806586,0.09934646670336082,0.03697599946611032,0.09842344528996977,0.10916192084550858,0.6067517062223892
1484.752669,2420,754.739103,0.09942593896150087,0.08979854109409899,0.07668152945852473,0.09877964992215088,0.037167597718179846,0.09842345676219198,0.07757128775119781,0.5778480016678451
6144.735953,10000,902.289555,0.09994877257459625,0.09362156156216755,0.0766823186051071,0.09984933831847793,0.03685912919391785,0.09842344534618382,0.12514925003051758,0.6305338156309681
4403.245928,7272,1009.946842,0.09920166866290928,0.07394033973831547,0.07668229925113629,0.09780801246364644,0.04009529504804335,0.09842344534407059,0.10449547320604324,0.5906465337141646
1388.853881,2304,1043.927649,0.09965540343417795,0.09447519112525693,0.07668224024548688,0.07960665264590605,0.0588110716236416,0.09842345274194404,0.14104357361793518,0.6486975854343486
2799.173849,4508,1110.70751,0.09947179214272811,0.08809244137572184,0.07668231860877567,0.09999944638205847,0.0368322945773782,0.09842344534294241,0.12823714315891266,0.6277388815885174
1339.320908,2248,1144.086437,0.09433380935805846,0.052142432739715444,0.0766589156288936,0.09990973851522975,0.03688214362460235,0.09842345717466996,0.16020843386650085,0.6185589309076703
1879.15413,3098,1189.877426,0.09826380574103838,0.07693878580082292,0.07668215882608403,0.09988206250840366,0.036920152736403915,0.09842344769103502,0.12401216477155685,0.6111225780753449
1622.609959,2661,1229.444566,0.09964424283413142,0.09273324546953715,0.07668231670666367,0.08508518089707937,0.06082696132072414,0.09842343963635816,0.09652331471443176,0.6099187015789257
1129.663485,1915,1257.737377,0.09477252315393445,0.060330141546361175,0.07668231468831549,0.09920310181507781,0.0370500373631723,0.0984234587543748,0.11235175281763077,0.5788133301388669
4309.883004,7007,1361.239817,0.09990225041504286,0.09289787601588938,0.0766823186089312,0.0996627786457939,0.03688371714676518,0.09842344534632386,0.12640252709388733,0.6308549132726337
2156.512081,3530,1413.310092,0.09898932332363508,0.08224996075215456,0.0766542719591124,0.09948059386842685,0.036852353999785446,0.09842366827343549,0.13385531306266785,0.6265054852392176
2564.402547,4198,1475.266928,0.09943997885246485,0.08865131505268756,0.07668231860936947,0.09546072869044159,0.041827746288603335,0.09842344543191711,0.12752166390419006,0.628007196829674
