#{"t_start": 1623278219.136353, "env_id": "quadruped-v1"}
r,l,t,reward_velocity,reward_energy,reward_distance,reward,penalty
38.768255,128,11.932457,5.519028517084934e-149,2.614606700418124e-06,0.07749091641857718,2.614606700418124e-06,0.0
1.929535,2,12.087736,0.9317827824310833,2.1849465413690097e-52,0.0003956164749916114,0.9317827824310833,0.0
1.930528,2,12.111986,0.9327748002509049,2.1849465413690097e-52,0.0003956164749916114,0.9327748002509049,0.0
71.744465,128,25.25166,2.0774155718538686e-91,0.045821535170891055,0.8156313341900403,0.045821535170891055,0.0
13.891205,128,39.285887,9.079695406603e-47,0.15054919109339174,0.7578629764116198,0.15054919109339174,0.0
66.424658,128,52.848272,3.679383856204912e-113,0.0007878270782902923,0.15268735695536487,0.0007878270782902923,0.0
2.0,2,52.93699,0.9999999186782897,1.7287250292170227e-48,3.074890517133106e-06,0.9999999186782897,0.0
2.0,2,52.97155,0.9999999152303025,2.2487214232590873e-47,3.147383612059228e-06,0.9999999152303025,0.0
2.0,2,52.996295,0.9999999874234899,2.101857571075554e-60,1.8936008137660255e-06,0.9999999874234899,0.0
2.0,2,53.020343,0.9999999874234899,2.101857571075554e-60,1.8936008137660255e-06,0.9999999874234899,0.0
53.973054,128,67.089919,1.2713727276578791e-35,0.28034355964335245,0.17106521155736085,0.28034355964335245,0.0
95.066821,128,82.331369,0.0,0.0,0.8545420673137883,0.0,0.0
1.99988,2,82.418699,0.9998802341511244,7.280531839404547e-59,4.0141133209982996e-05,0.9998802341511244,0.0
1.999264,2,82.444866,0.9993342277332724,1.5243599701430598e-56,7.442859531679976e-05,0.9993342277332724,0.0
139.219059,128,98.118374,0.9948786904652812,0.8991334672348649,0.3637429273314086,1.894012157700146,0.0
123.890707,128,115.427594,0.9999915560687492,0.8691588297330097,0.1369789674387725,1.8691503858017589,0.0
89.548098,128,128.580462,0.9881336149870921,0.9670569548806901,0.28424759921066084,1.9551905698677823,0.0
79.38047,128,139.969303,2.65335919134279e-07,0.5516124734615147,0.6118357093595069,0.5516127387974338,0.0
90.227634,128,154.331216,7.65376496046072e-254,1.28995270107818e-90,0.22862251439396722,1.28995270107818e-90,0.0
47.702778,128,169.14418,1.316521105820293e-59,3.5833069216553846e-06,0.2566642368873488,3.5833069216553846e-06,0.0
1.0,1,169.22762,0.9999999987896858,2.3449779700404714e-156,5.267293986929404e-07,0.9999999987896858,0.0
1.0,1,169.253308,0.999999998226637,1.8332327305858826e-162,5.763909519795525e-07,0.999999998226637,0.0
1.0,1,169.278118,0.9999999985879366,2.3864794999733942e-160,5.311740939259726e-07,0.9999999985879366,0.0
1.0,1,169.303386,0.9999999982169558,1.8332231896107027e-162,5.780150969163872e-07,0.9999999982169558,0.0
2.0,2,169.327899,0.9999999874234899,2.101857571075554e-60,1.8936008137660255e-06,0.9999999874234899,0.0
2.0,2,169.351816,0.9999999874234899,2.101857571075554e-60,1.8936008137660255e-06,0.9999999874234899,0.0
140.688167,128,184.930292,8.293022890526226e-08,0.32967561490540226,0.23323885288447804,0.32967569783563117,0.0
122.382301,128,197.814204,2.6729962820944294e-84,0.03583818852082772,0.1404651559730752,0.03583818852082772,0.0
2.0,2,197.887776,0.9999999874234899,2.101857571075554e-60,1.8936008137660255e-06,0.9999999874234899,0.0
2.0,2,197.912314,0.9999999874234899,2.101857571075554e-60,1.8936008137660255e-06,0.9999999874234899,0.0
184.316689,128,216.429438,0.999782023103373,0.8692170838338005,0.03401856164318601,1.8689991069371734,0.0
2.0,2,216.532165,0.9999999874234899,2.101857571075554e-60,1.8936008137660255e-06,0.9999999874234899,0.0
2.0,2,216.556756,0.9999999874234899,2.101857571075554e-60,1.8936008137660255e-06,0.9999999874234899,0.0
148.564785,128,230.879362,0.845585835890456,0.9745039149143081,0.12441032233852294,1.820089750804764,0.0
