Wall time,Step,Value
1629874932.9285998,0,9.999999747378752e-05
1629874946.4853444,1,9.999999747378752e-05
1629874959.4279864,2,9.999999747378752e-05
1629874972.4798222,3,9.999999747378752e-05
1629874987.6390076,4,9.999999747378752e-05
1629875005.4393318,5,9.000000136438757e-05
1629875021.9695716,6,9.000000136438757e-05
1629875036.8594162,7,9.000000136438757e-05
1629875051.4903593,8,9.000000136438757e-05
1629875066.8623776,9,9.000000136438757e-05
1629875084.6949387,10,8.099999831756577e-05
1629875098.2491798,11,8.099999831756577e-05
1629875113.6916785,12,8.099999831756577e-05
1629875128.8682048,13,8.099999831756577e-05
1629875141.9944825,14,8.099999831756577e-05
1629875156.5244367,15,7.2900002123788e-05
1629875171.2421982,16,7.2900002123788e-05
1629875184.3433425,17,7.2900002123788e-05
1629875197.679721,18,7.2900002123788e-05
1629875210.850715,19,7.2900002123788e-05
1629875227.2433748,20,6.56100019114092e-05
1629875241.7803369,21,6.56100019114092e-05
1629875258.8203402,22,6.56100019114092e-05
1629875272.6774733,23,6.56100019114092e-05
1629875285.8731885,24,6.56100019114092e-05
1629875300.470303,25,5.904900172026828e-05
1629875313.4848094,26,5.904900172026828e-05
1629875326.61268,27,5.904900172026828e-05
1629875339.6856103,28,5.904900172026828e-05
1629875352.7215478,29,5.904900172026828e-05
1629875367.463663,30,5.314410009304993e-05
1629875380.6135015,31,5.314410009304993e-05
1629875393.609272,32,5.314410009304993e-05
1629875406.6242588,33,5.314410009304993e-05
1629875419.5680308,34,5.314410009304993e-05
1629875433.4966533,35,4.7829689719947055e-05
1629875446.4844918,36,4.7829689719947055e-05
1629875459.4820633,37,4.7829689719947055e-05
1629875472.4845958,38,4.7829689719947055e-05
1629875485.5827112,39,4.7829689719947055e-05
1629875499.5284903,40,4.304672256694175e-05
1629875512.5979986,41,4.304672256694175e-05
1629875525.6736162,42,4.304672256694175e-05
1629875538.7186506,43,4.304672256694175e-05
1629875551.8258083,44,4.304672256694175e-05
1629875565.8197393,45,3.874204776366241e-05
1629875578.9036493,46,3.874204776366241e-05
1629875591.8790736,47,3.874204776366241e-05
1629875605.2309334,48,3.874204776366241e-05
1629875618.765333,49,3.874204776366241e-05
1629875632.8044217,50,3.4867844078689814e-05
1629875647.630096,51,3.4867844078689814e-05
1629875662.4969115,52,3.4867844078689814e-05
1629875679.7265644,53,3.4867844078689814e-05
1629875695.3194854,54,3.4867844078689814e-05
1629875710.2997112,55,3.138105967082083e-05
1629875723.9772625,56,3.138105967082083e-05
1629875737.1045647,57,3.138105967082083e-05
1629875750.9013,58,3.138105967082083e-05
1629875764.2148542,59,3.138105967082083e-05
1629875778.1470032,60,2.824295370373875e-05
1629875791.1768827,61,2.824295370373875e-05
1629875804.248717,62,2.824295370373875e-05
1629875817.9702108,63,2.824295370373875e-05
1629875831.3932428,64,2.824295370373875e-05
1629875855.2047048,65,2.5418657969566993e-05
1629875878.7755132,66,2.5418657969566993e-05
1629875894.9000306,67,2.5418657969566993e-05
1629875909.6296508,68,2.5418657969566993e-05
1629875922.8620522,69,2.5418657969566993e-05
1629875939.0071325,70,2.2876793082104996e-05
1629875954.88766,71,2.2876793082104996e-05
1629875970.2063053,72,2.2876793082104996e-05
1629875983.281663,73,2.2876793082104996e-05
1629875996.411414,74,2.2876793082104996e-05
1629876011.9278586,75,2.0589113773894496e-05
1629876026.7131329,76,2.0589113773894496e-05
1629876039.7889254,77,2.0589113773894496e-05
1629876052.9599214,78,2.0589113773894496e-05
1629876066.069624,79,2.0589113773894496e-05
1629876080.1432657,80,1.8530201487010345e-05
1629876093.3135064,81,1.8530201487010345e-05
1629876106.3506775,82,1.8530201487010345e-05
1629876121.8486948,83,1.8530201487010345e-05
1629876136.3109233,84,1.8530201487010345e-05
1629876150.5065954,85,1.6677182429702953e-05
1629876163.6083012,86,1.6677182429702953e-05
1629876176.8319793,87,1.6677182429702953e-05
1629876189.969112,88,1.6677182429702953e-05
1629876203.1566792,89,1.6677182429702953e-05
1629876217.1845634,90,1.5009463822934777e-05
1629876230.2358623,91,1.5009463822934777e-05
1629876244.4597545,92,1.5009463822934777e-05
1629876258.845525,93,1.5009463822934777e-05
1629876273.8744805,94,1.5009463822934777e-05
1629876289.543658,95,1.3508517440641299e-05
1629876304.42408,96,1.3508517440641299e-05
1629876318.2478766,97,1.3508517440641299e-05
1629876333.212353,98,1.3508517440641299e-05
1629876349.8242536,99,1.3508517440641299e-05
