Wall time,Step,Value
1629874946.485026,1,0.7860199213027954
1629874959.4276328,2,0.21524040400981903
1629874972.4795027,3,0.161167711019516
1629874987.6385581,4,0.13154342770576477
1629875004.3781536,5,0.11233913153409958
1629875021.9692492,6,0.09717109054327011
1629875036.8590868,7,0.08637655526399612
1629875051.4899783,8,0.07800322771072388
1629875066.862001,9,0.07180695235729218
1629875083.0635822,10,0.06695299595594406
1629875098.248814,11,0.06308664381504059
1629875113.6912303,12,0.0603351853787899
1629875128.8678267,13,0.058152977377176285
1629875141.9941132,14,0.055965401232242584
1629875155.1151314,15,0.054311685264110565
1629875171.2418754,16,0.052374064922332764
1629875184.3430228,17,0.05117673799395561
1629875197.679341,18,0.05009717494249344
1629875210.8503377,19,0.04892449826002121
1629875226.2439263,20,0.04807582497596741
1629875241.7799923,21,0.04704824090003967
1629875258.8197608,22,0.04634472727775574
1629875272.677098,23,0.04580753669142723
1629875285.8728664,24,0.0453093983232975
1629875299.518745,25,0.04467664286494255
1629875313.4844477,26,0.044090934097766876
1629875326.6123345,27,0.043671444058418274
1629875339.6852386,28,0.04329213500022888
1629875352.7211971,29,0.042990364134311676
1629875366.506826,30,0.042716190218925476
1629875380.613181,31,0.042258866131305695
1629875393.6089244,32,0.04200860485434532
1629875406.623877,33,0.04176997020840645
1629875419.5676804,34,0.041545163840055466
1629875432.5322583,35,0.04139897972345352
1629875446.4841712,36,0.041101787239313126
1629875459.481747,37,0.04089288413524628
1629875472.484221,38,0.040749069303274155
1629875485.58239,39,0.04060665890574455
1629875498.5616105,40,0.040452223271131516
1629875512.5976353,41,0.04023609310388565
1629875525.673266,42,0.04011749103665352
1629875538.7183025,43,0.040011756122112274
1629875551.825439,44,0.03990352526307106
1629875564.8596227,45,0.03978182375431061
1629875578.9032485,46,0.039590466767549515
1629875591.8787093,47,0.03951865807175636
1629875605.230611,48,0.039437077939510345
1629875618.7649605,49,0.03938324376940727
1629875631.849686,50,0.03929981589317322
1629875647.6297262,51,0.03912952169775963
1629875662.4965465,52,0.0390634685754776
1629875679.7262976,53,0.039034586399793625
1629875695.3191302,54,0.03893943130970001
1629875709.262178,55,0.038884010165929794
1629875723.9769347,56,0.038766440004110336
1629875737.1041915,57,0.03870968893170357
1629875750.9009798,58,0.0386916883289814
1629875764.2145329,59,0.03865493834018707
1629875777.1900487,60,0.03858184814453125
1629875791.1765351,61,0.03846592828631401
1629875804.2484002,62,0.038439031690359116
1629875817.9697945,63,0.03837200626730919
1629875831.3928812,64,0.038370780646800995
1629875853.626188,65,0.038335587829351425
1629875878.7751274,66,0.03821812570095062
1629875894.8996935,67,0.03819733113050461
1629875909.6292317,68,0.03816605359315872
1629875922.8616738,69,0.03814180940389633
1629875937.8768673,70,0.03808527812361717
1629875954.88732,71,0.03801197186112404
1629875970.205935,72,0.038015224039554596
1629875983.2812955,73,0.037972912192344666
1629875996.411033,74,0.03793233260512352
1629876010.806319,75,0.037932731211185455
1629876026.7127826,76,0.03785086050629616
1629876039.788555,77,0.03782765194773674
1629876052.9595473,78,0.037815552204847336
1629876066.0692637,79,0.037797711789608
1629876079.1834211,80,0.0377846322953701
1629876093.313178,81,0.037698861211538315
1629876106.3503425,82,0.03767738491296768
1629876121.84831,83,0.03767101839184761
1629876136.3105507,84,0.03765155375003815
1629876149.5217001,85,0.037633221596479416
1629876163.6079423,86,0.03758207708597183
1629876176.831612,87,0.03756510093808174
1629876189.9688067,88,0.03755130246281624
1629876203.1563623,89,0.03754371777176857
1629876216.19888,90,0.03751254454255104
1629876230.235486,91,0.03747406229376793
1629876244.4594152,92,0.03744558244943619
1629876258.8447542,93,0.037439268082380295
1629876273.874107,94,0.037426214665174484
1629876288.281986,95,0.037406135350465775
1629876304.42375,96,0.03737437352538109
1629876318.2475016,97,0.03735531121492386
1629876333.2120295,98,0.03734094277024269
1629876349.823609,99,0.03733460605144501
1629876363.5475922,100,0.03732450678944588
