Wall time,Step,Value
1622628463.5892518,2048,4.164973829084947e-17
1622628469.2245538,4096,2.0824869145424735e-17
1622628474.8628666,6144,1.189992534412565e-17
1622628480.7489142,8192,8.76836595596831e-18
1622628486.555258,10240,7.243432854127814e-18
1622628492.204166,12288,6.170331445462771e-18
1622628498.1100283,14336,5.374159766122825e-18
1622628503.7064428,16384,4.759969889496076e-18
1622628509.3528638,18432,5.696608003785796e-18
1622628515.2699533,20480,5.178734624094416e-18
1622628520.9756153,22528,4.747173405419881e-18
1622628526.7868555,24576,4.3820062522022214e-18
1622628532.3774905,26624,8.383193517147447e-08
1622628538.2319076,28672,7.833475734742024e-08
1622628543.8808093,30720,7.131970392038056e-08
1622628549.4716194,32768,6.636695104589307e-08
1622628555.0731666,34816,6.20574027720977e-08
1622628560.9405434,36864,5.899284261090543e-08
1622628566.6613088,38912,5.621670950972657e-08
1622628572.3956916,40960,5.369011546463298e-08
1622628578.1158624,43008,5.138086223155369e-08
1622628583.722834,45056,4.875938941495406e-08
1622628589.3265595,47104,4.778420148454643e-08
1622628595.2106535,49152,4.778420148454643e-08
1622628600.8327222,51200,4.778420148454643e-08
1622628606.4350977,53248,4.778420148454643e-08
1622628612.4315882,55296,4.778420148454643e-08
1622628618.0939739,57344,4.778420148454643e-08
1622628623.7174122,59392,4.778420148454643e-08
1622628629.3959417,61440,4.778420148454643e-08
1622628635.0468638,63488,4.778420148454643e-08
1622628640.9675903,65536,4.778420148454643e-08
1622628646.9310465,67584,4.778420148454643e-08
1622628652.9318628,69632,4.778420148454643e-08
1622628658.5527663,71680,4.778420148454643e-08
1622628664.2742171,73728,4.778420148454643e-08
1622628669.9533243,75776,8.316482178013497e-39
1622628675.693468,77824,8.316482178013497e-39
1622628681.6520693,79872,0.0
1622628687.6533492,81920,0.0
1622628693.31433,83968,0.0
1622628699.1806839,86016,0.0
1622628704.8167427,88064,0.0
1622628710.4756598,90112,0.0
1622628716.0706246,92160,0.0
1622628721.6817863,94208,0.0
1622628727.520563,96256,0.0
1622628733.2515292,98304,0.0
1622628738.8891938,100352,0.0
1622628744.5623624,102400,0.0
1622628750.1996906,104448,0.0
1622628755.811704,106496,0.0
1622628761.4903197,108544,0.0
1622628767.2799015,110592,0.0
1622628772.869326,112640,0.0
1622628778.878863,114688,0.0
1622628784.6895592,116736,0.0
1622628790.3905184,118784,0.0
1622628796.237455,120832,0.0
1622628802.0841124,122880,0.0
1622628807.814586,124928,0.0
1622628813.531019,126976,0.0
1622628819.3255844,129024,0.0
1622628824.9999292,131072,0.0
1622628830.9322805,133120,0.0
1622628836.7477722,135168,0.0
1622628842.4486258,137216,0.0
1622628848.268051,139264,0.0
1622628853.9280758,141312,0.0
1622628859.7854736,143360,0.0
1622628865.522085,145408,0.0
1622628871.1245997,147456,0.0
1622628876.7411757,149504,0.0
1622628882.6929083,151552,0.0
1622628888.5368645,153600,0.0
1622628894.424574,155648,0.0
1622628900.3549488,157696,0.0
1622628906.1191092,159744,0.0
1622628912.053024,161792,0.0
1622628917.778673,163840,0.0
1622628923.4380178,165888,0.0
1622628929.0576408,167936,0.0
1622628935.013105,169984,0.0
1622628940.6540704,172032,0.0
