Wall time,Step,Value
1622628463.5893073,2048,0.0002006841532420367
1622628469.2246087,4096,0.0003499394515529275
1622628474.8629222,6144,0.003420821623876691
1622628480.7490015,8192,0.014037436805665493
1622628486.5553124,10240,0.01166730746626854
1622628492.2042208,12288,0.01065579429268837
1622628498.1100836,14336,0.00929894670844078
1622628503.7064993,16384,0.00897191558033228
1622628509.352919,18432,0.009306550957262516
1622628515.2700083,20480,0.010205068625509739
1622628520.9756703,22528,0.009382138960063457
1622628526.7869105,24576,0.013372180983424187
1622628532.3775446,26624,0.012525608763098717
1622628538.2319627,28672,0.01177659910172224
1622628543.880865,30720,0.012385856360197067
1622628549.4716759,32768,0.012026541866362095
1622628555.07322,34816,0.011547873727977276
1622628560.9406075,36864,0.011114910244941711
1622628566.661366,38912,0.011236002668738365
1622628572.3957474,40960,0.010766159743070602
1622628578.1159198,43008,0.010797079652547836
1622628583.7228885,45056,0.011023751460015774
1622628589.3266187,47104,0.012130379676818848
1622628595.2107103,49152,0.012126507237553596
1622628600.8327777,51200,0.012428768910467625
1622628606.4351566,53248,0.013257676735520363
1622628612.4316485,55296,0.011084537953138351
1622628618.0940294,57344,0.012270165607333183
1622628623.7174668,59392,0.012671073898673058
1622628629.3959973,61440,0.014037699438631535
1622628635.0469193,63488,0.01351866964250803
1622628640.9676602,65536,0.013244746252894402
1622628646.9311032,67584,0.012614617124199867
1622628652.9319174,69632,0.013091761618852615
1622628658.5528204,71680,0.011249103583395481
1622628664.2742715,73728,0.011100334115326405
1622628669.9533794,75776,0.011433235369622707
1622628675.6935234,77824,0.011296628974378109
1622628681.6521242,79872,0.010473922826349735
1622628687.6534052,81920,0.012126301415264606
1622628693.314407,83968,0.012303448282182217
1622628699.1807399,86016,0.01244343165308237
1622628704.8167977,88064,0.012892497703433037
1622628710.4757156,90112,0.01297380868345499
1622628716.070681,92160,0.013007613830268383
1622628721.6818407,94208,0.012476500123739243
1622628727.5206208,96256,0.012806958518922329
