metric,value,step
reward,0.7474339604377747,1625.0
reward,0.749495267868042,3673.0
reward,0.7497988939285278,5293.0
reward,0.7286208271980286,7341.0
reward,0.7417166829109192,9280.0
reward,0.7600361704826355,11328.0
reward,0.7668712139129639,12968.0
reward,0.7844854593276978,14578.0
reward,0.782008707523346,16626.0
reward,0.7934828400611877,18413.0
reward,0.7956805229187012,20461.0
reward,0.7928546071052551,21733.0
reward,0.7824785113334656,23781.0
reward,0.772794246673584,25589.0
reward,0.773240327835083,27637.0
reward,0.7728922963142395,29685.0
reward,0.7672363519668579,31359.0
reward,0.7749378085136414,33096.0
reward,0.776950478553772,34757.0
reward,0.7786487936973572,36755.0
reward,0.7751055955886841,38803.0
reward,0.7739993333816528,40851.0
reward,0.7729013562202454,42899.0
reward,0.7747344374656677,44461.0
reward,0.7685612440109253,46509.0
reward,0.7689251899719238,48198.0
reward,0.7677474617958069,50155.0
reward,0.7687019109725952,52203.0
reward,0.7727354168891907,53842.0
reward,0.767050564289093,55890.0
reward,0.7573873400688171,57115.0
reward,0.7575476765632629,58736.0
reward,0.7526063323020935,60397.0
reward,0.7571271061897278,61616.0
reward,0.74803227186203,63664.0
reward,0.7450920343399048,64861.0
reward,0.7468344569206238,66509.0
reward,0.7510285973548889,67424.0
reward,0.7502740025520325,69015.0
reward,0.7457531094551086,71063.0
reward,0.7405456900596619,73111.0
reward,0.7413566708564758,74957.0
reward,0.7366936802864075,76537.0
reward,0.7335516214370728,78114.0
reward,0.7253782153129578,80162.0
reward,0.7196570634841919,82210.0
reward,0.7117919325828552,84258.0
reward,0.7029959559440613,86306.0
reward,0.6968247890472412,87181.0
reward,0.7028931379318237,88778.0
reward,0.7031444907188416,90461.0
reward,0.7048475742340088,91564.0
reward,0.6953455805778503,93155.0
reward,0.6946521401405334,94867.0
reward,0.6959110498428345,96100.0
reward,0.7075439095497131,97390.0
reward,0.7067593932151794,99438.0
reward,0.7066254615783691,101008.0
reward,0.7012206315994263,101780.0
reward,0.6972219944000244,103828.0
reward,0.6987226009368896,105876.0
reward,0.6950299739837646,107924.0
reward,0.6915940642356873,109486.0
reward,0.6928138732910156,111052.0
reward,0.6910343170166016,112248.0
reward,0.686998724937439,113891.0
reward,0.691910982131958,115939.0
reward,0.6869663000106812,117987.0
reward,0.6781224012374878,120035.0
reward,0.6721066236495972,122083.0
reward,0.6802573204040527,123271.0
reward,0.6854156255722046,125319.0
reward,0.6881564855575562,127367.0
reward,0.6913588047027588,128970.0
reward,0.6854950785636902,131018.0
reward,0.6866596937179565,132680.0
reward,0.6846301555633545,134497.0
reward,0.6905149817466736,136545.0
reward,0.6857259273529053,138593.0
reward,0.6920475363731384,140167.0
reward,0.6830147504806519,141560.0
reward,0.6841472387313843,143223.0
reward,0.6812921166419983,145018.0
reward,0.671592116355896,147066.0
reward,0.6697803139686584,149114.0
reward,0.6592791676521301,151162.0
reward,0.65487140417099,153210.0
reward,0.653389573097229,155258.0
reward,0.6541427373886108,157045.0
reward,0.6532794833183289,158857.0
reward,0.663203775882721,160905.0
reward,0.6563088893890381,162941.0
reward,0.6589189767837524,164796.0
reward,0.6635220050811768,166844.0
reward,0.6756560206413269,168892.0
reward,0.669571578502655,170940.0
reward,0.6733502745628357,172988.0
reward,0.6759493947029114,175036.0
reward,0.6716052293777466,177084.0
reward,0.6660999059677124,179132.0
reward,0.6624042987823486,180732.0
reward,0.6521098017692566,182780.0
reward,0.6569384932518005,183921.0
reward,0.6611385345458984,185969.0
reward,0.65508633852005,187319.0
reward,0.6592432856559753,189051.0
reward,0.6511833667755127,191099.0
reward,0.6566944718360901,192955.0
reward,0.6505451202392578,195003.0
reward,0.6552636027336121,196593.0
reward,0.6606532335281372,198621.0
reward,0.6690958142280579,200669.0
reward,0.6717793941497803,202717.0
reward,0.6678578853607178,204765.0
reward,0.6748196482658386,206813.0
reward,0.6721766591072083,208563.0
reward,0.6686154007911682,210611.0
reward,0.6742962002754211,212659.0
reward,0.6720799803733826,214283.0
reward,0.6674988865852356,215902.0
reward,0.6701909899711609,217470.0
reward,0.6666081547737122,219100.0
reward,0.6670504808425903,221148.0
reward,0.6721349358558655,222730.0
reward,0.6853328347206116,224306.0
reward,0.68269282579422,225576.0
reward,0.6905056834220886,227624.0
reward,0.6755346059799194,229672.0
reward,0.6765249371528625,231720.0
reward,0.6690642833709717,233768.0
reward,0.6582596302032471,235816.0
reward,0.6563976407051086,237622.0
reward,0.6466273069381714,239670.0
reward,0.6590768098831177,241718.0
reward,0.6515517234802246,243766.0
reward,0.6512327790260315,245332.0
reward,0.645574688911438,247380.0
reward,0.6454001665115356,249428.0
reward,0.6476179361343384,250942.0
reward,0.6446225643157959,252990.0
reward,0.6421024799346924,254180.0
reward,0.6506310701370239,254819.0
reward,0.6430347561836243,256150.0
reward,0.6553978323936462,257353.0
reward,0.6571424603462219,259401.0
reward,0.6543923616409302,261449.0
reward,0.6570644974708557,262883.0
reward,0.6510124802589417,264931.0
reward,0.6447993516921997,266979.0
reward,0.6382078528404236,269027.0
reward,0.6361026167869568,271075.0
reward,0.6376547813415527,273123.0
reward,0.6491213440895081,274314.0
reward,0.6418477296829224,276362.0
reward,0.6558424234390259,277672.0
reward,0.6628966927528381,279720.0
reward,0.6665826439857483,281368.0
reward,0.6644783020019531,281987.0
reward,0.6758224964141846,283579.0
reward,0.6772542595863342,285627.0
reward,0.6800850629806519,287208.0
reward,0.6755626201629639,289256.0
reward,0.6672162413597107,291304.0
reward,0.6725181341171265,292420.0
reward,0.6716959476470947,294468.0
reward,0.6682749390602112,296516.0
reward,0.6667797565460205,298564.0
reward,0.6622715592384338,300612.0
reward,0.6515620946884155,302660.0
reward,0.6462987065315247,304391.0
reward,0.654726505279541,306173.0
reward,0.6460427045822144,307809.0
reward,0.6522377133369446,309424.0
reward,0.653732180595398,311472.0
reward,0.6537705659866333,313520.0
reward,0.6600701808929443,315094.0
reward,0.6602668762207031,316666.0
reward,0.6501036882400513,318714.0
reward,0.656253457069397,320397.0
reward,0.6514945030212402,322253.0
reward,0.6415191292762756,324301.0
reward,0.6393910646438599,326349.0
reward,0.6370795965194702,328397.0
reward,0.6365737318992615,330445.0
reward,0.6462611556053162,332035.0
reward,0.6403334140777588,333757.0
reward,0.6433659791946411,335805.0
reward,0.6449752449989319,337853.0
reward,0.6384512186050415,339510.0
reward,0.6387437582015991,341558.0
reward,0.6448080539703369,343606.0
reward,0.6421353220939636,345654.0
reward,0.6451676487922668,347702.0
reward,0.6485322713851929,349311.0
reward,0.6498290300369263,350788.0
reward,0.6447772979736328,352563.0
reward,0.6479682922363281,354611.0
reward,0.6499490737915039,356251.0
reward,0.6533017158508301,357837.0
reward,0.6535547971725464,359885.0
reward,0.6477463841438293,361933.0
reward,0.6472549438476562,363569.0
reward,0.651857852935791,365617.0
reward,0.6489623785018921,367297.0
reward,0.646992564201355,369345.0
reward,0.6467885971069336,371108.0
reward,0.6522005796432495,373156.0
reward,0.6551215052604675,375204.0
reward,0.6519584059715271,377137.0
reward,0.6552266478538513,378395.0
reward,0.6572457551956177,380443.0
reward,0.6587615609169006,382491.0
reward,0.6678231358528137,384539.0
reward,0.664705216884613,386587.0
reward,0.663766086101532,388635.0
reward,0.659895658493042,390683.0
reward,0.6650249361991882,392731.0
reward,0.6591590046882629,394779.0
reward,0.6576439738273621,396668.0
reward,0.6564725041389465,398225.0
reward,0.6540567874908447,399817.0
reward,0.6541011929512024,401865.0
reward,0.6474116444587708,403913.0
reward,0.6416220664978027,405961.0
reward,0.6412047743797302,408009.0
reward,0.6458697319030762,409742.0
reward,0.6475266218185425,411344.0
reward,0.6547068357467651,413392.0
reward,0.6479775905609131,415440.0
reward,0.6508111357688904,417130.0
reward,0.6566451787948608,419178.0
reward,0.6486098766326904,421226.0
reward,0.6475130915641785,423274.0
reward,0.6488777995109558,424517.0
reward,0.6328860521316528,426565.0
reward,0.6388252973556519,428613.0
reward,0.6385517716407776,430661.0
reward,0.6313924193382263,432709.0
reward,0.6336306929588318,434757.0
reward,0.6365858316421509,436805.0
reward,0.6392747759819031,438369.0
reward,0.6391313672065735,440417.0
reward,0.6459578275680542,442465.0
reward,0.6506592631340027,444513.0
reward,0.6507396101951599,446561.0
reward,0.6481579542160034,448164.0
reward,0.6441270112991333,450212.0
reward,0.6474817991256714,451848.0
reward,0.6519749164581299,453896.0
reward,0.6494284868240356,455944.0
reward,0.6527194976806641,457992.0
reward,0.6492413282394409,459592.0
reward,0.6518165469169617,461282.0
reward,0.650606632232666,463330.0
reward,0.647465705871582,465378.0
reward,0.6466346383094788,467426.0
reward,0.6510189175605774,469474.0
reward,0.6537304520606995,471187.0
reward,0.647068440914154,473235.0
reward,0.6531035304069519,474350.0
reward,0.6545141339302063,476398.0
reward,0.6523487567901611,478446.0
reward,0.6530948281288147,480494.0
reward,0.6590855121612549,482542.0
reward,0.6474069356918335,484164.0
reward,0.6464296579360962,486212.0
reward,0.6419338583946228,486978.0
reward,0.643741250038147,489026.0
reward,0.6435235738754272,490668.0
reward,0.6549578905105591,492333.0
reward,0.6532318592071533,494381.0
reward,0.6532644033432007,496429.0
reward,0.6549400091171265,498477.0
reward,0.6563673615455627,500525.0
reward,0.6591436862945557,502573.0
reward,0.6517385840415955,504147.0
reward,0.6465702652931213,506195.0
reward,0.6409792304039001,508243.0
reward,0.6576529145240784,509808.0
reward,0.653186023235321,511856.0
reward,0.6544455289840698,513539.0
reward,0.6531661748886108,515587.0
reward,0.6566991209983826,517635.0
reward,0.6558877229690552,519683.0
reward,0.6531394124031067,521248.0
reward,0.6567538976669312,523296.0
reward,0.6526525616645813,525344.0
reward,0.6549162864685059,527392.0
reward,0.6451690196990967,529440.0
reward,0.6539111733436584,531488.0
reward,0.6537158489227295,533138.0
reward,0.6607269644737244,534314.0
reward,0.6643388271331787,535932.0
reward,0.6562908887863159,537980.0
reward,0.6488109827041626,540028.0
reward,0.6554487347602844,541630.0
reward,0.6599076986312866,543678.0
reward,0.6499138474464417,545726.0
reward,0.6408051252365112,547774.0
reward,0.6368891596794128,549822.0
reward,0.6450130939483643,551870.0
reward,0.6571007966995239,553454.0
reward,0.6624196767807007,555132.0
reward,0.6552278995513916,557180.0
reward,0.6566897034645081,559228.0
reward,0.651381254196167,561276.0
reward,0.6572110652923584,562960.0
reward,0.6514423489570618,564555.0
reward,0.6501758098602295,566603.0
reward,0.6499282717704773,568651.0
reward,0.6375114321708679,570699.0
reward,0.640374481678009,572747.0
reward,0.6441878080368042,574795.0
reward,0.6480532884597778,576843.0
reward,0.6444399952888489,578891.0
reward,0.6381402611732483,580939.0
reward,0.6259546875953674,582501.0
reward,0.6188079714775085,584549.0
reward,0.6270800828933716,586255.0
reward,0.6280093789100647,587875.0
reward,0.625789225101471,589923.0
reward,0.6244498491287231,591572.0
reward,0.6374464631080627,593255.0
reward,0.6415529847145081,595303.0
reward,0.6407696604728699,597351.0
reward,0.6370756030082703,599399.0
reward,0.6255273818969727,601447.0
reward,0.6265574097633362,603495.0
reward,0.6201967000961304,605543.0
reward,0.6229262351989746,607591.0
reward,0.6247715950012207,609639.0
reward,0.6181350946426392,611687.0
reward,0.615140974521637,613330.0
reward,0.6191531419754028,615378.0
reward,0.6178494095802307,617426.0
reward,0.6284024715423584,619036.0
reward,0.6250265836715698,621001.0
reward,0.6208010911941528,623049.0
reward,0.6180739402770996,625097.0
reward,0.6203052401542664,626706.0
reward,0.6289490461349487,628754.0
reward,0.632149338722229,630802.0
reward,0.6294676065444946,632497.0
reward,0.6222604513168335,634545.0
reward,0.6235721707344055,636593.0
reward,0.6215448379516602,638641.0
reward,0.6219534873962402,640689.0
reward,0.6146214604377747,642737.0
reward,0.6076763868331909,644785.0
reward,0.6097040176391602,646390.0
reward,0.6069650053977966,647959.0
reward,0.6059750318527222,649530.0
reward,0.6080419421195984,650610.0
reward,0.6119250655174255,652236.0
reward,0.6147439479827881,653581.0
reward,0.6119388937950134,655210.0
reward,0.6210947036743164,657258.0
reward,0.6249145865440369,659306.0
reward,0.6200515031814575,661354.0
reward,0.6187107563018799,663402.0
reward,0.6116622686386108,665450.0
reward,0.6187310814857483,667498.0
reward,0.6189935803413391,669546.0
reward,0.618217408657074,671271.0
reward,0.6203261613845825,673319.0
reward,0.6140839457511902,675367.0
reward,0.6110118627548218,677415.0
reward,0.6156359314918518,679463.0
reward,0.6139281392097473,681511.0
reward,0.6246596574783325,683559.0
reward,0.6295831203460693,685607.0
reward,0.6325979828834534,687655.0
reward,0.6286290287971497,689283.0
reward,0.6420848369598389,691331.0
reward,0.6502034664154053,692894.0
reward,0.6493875980377197,694942.0
reward,0.6463730931282043,696990.0
reward,0.6383094787597656,699038.0
reward,0.6393647193908691,701086.0
reward,0.6463856101036072,702655.0
reward,0.6557604074478149,704703.0
reward,0.6473203897476196,706751.0
reward,0.6440762877464294,708799.0
reward,0.6479037404060364,710847.0
reward,0.6500647068023682,712610.0
reward,0.6520754098892212,714658.0
reward,0.6500234007835388,716283.0
reward,0.6574814915657043,717911.0
reward,0.6618149280548096,719959.0
reward,0.6607206463813782,722007.0
reward,0.6593029499053955,724055.0
reward,0.6657370328903198,726103.0
reward,0.6653687953948975,728151.0
reward,0.6782593131065369,730199.0
reward,0.6662254929542542,732247.0
reward,0.6649650931358337,734295.0
reward,0.672106146812439,736343.0
reward,0.6729929447174072,738391.0
reward,0.6717619895935059,739990.0
reward,0.665864109992981,741409.0
reward,0.6607221364974976,743457.0
reward,0.6656336188316345,744197.0
reward,0.6702473759651184,745898.0
reward,0.6663846373558044,747946.0
reward,0.6598759889602661,749994.0
reward,0.6615097522735596,751165.0
reward,0.6699650883674622,753213.0
reward,0.6708272695541382,755261.0
reward,0.6633694171905518,757309.0
reward,0.664583683013916,759357.0
reward,0.6657907366752625,761405.0
reward,0.664555549621582,763453.0
reward,0.6478930115699768,765501.0
reward,0.6533806920051575,767549.0
reward,0.6492113471031189,769597.0
reward,0.6549107432365417,771645.0
reward,0.6503914594650269,773693.0
reward,0.6505064964294434,775741.0
reward,0.6402347087860107,777789.0
reward,0.6380738615989685,779837.0
reward,0.6395105123519897,781885.0
reward,0.6320236921310425,783643.0
reward,0.6351604461669922,785691.0
reward,0.6370235085487366,787739.0
reward,0.6361151933670044,789787.0
reward,0.633095920085907,791835.0
reward,0.6284731030464172,793883.0
reward,0.6261864304542542,795442.0
reward,0.6364813446998596,797490.0
reward,0.6349106431007385,799538.0
reward,0.6307237148284912,801586.0
reward,0.6294451355934143,803294.0
reward,0.631373941898346,805342.0
reward,0.6362279653549194,807390.0
reward,0.6403627395629883,809438.0
reward,0.6470687985420227,811486.0
reward,0.6434392333030701,813534.0
reward,0.6461732387542725,815582.0
reward,0.645647406578064,817630.0
reward,0.6474391222000122,819678.0
reward,0.6455468535423279,821726.0
reward,0.6491660475730896,823774.0
reward,0.6513215899467468,825333.0
reward,0.64577716588974,827381.0
reward,0.6456739902496338,829429.0
reward,0.6452867388725281,831477.0
reward,0.6524648666381836,833525.0
reward,0.6570297479629517,835573.0
reward,0.6553332209587097,837186.0
reward,0.6571499705314636,839234.0
reward,0.6693033576011658,840928.0
reward,0.6711731553077698,842543.0
reward,0.6682519912719727,844591.0
reward,0.6728629469871521,846639.0
reward,0.675739586353302,848687.0
reward,0.6722277402877808,850735.0
reward,0.6626208424568176,852783.0
reward,0.6667816042900085,854457.0
reward,0.6623678207397461,856505.0
