metric,value,step
forward_vel,-0.2924484312534332,1713.0
forward_vel,0.2923176884651184,2109.0
forward_vel,-0.01568639650940895,3804.0
forward_vel,0.030436811968684196,7000.0
forward_vel,0.013502703048288822,11000.0
forward_vel,0.03987254947423935,15000.0
forward_vel,0.10237272828817368,19000.0
forward_vel,0.16072799265384674,23000.0
forward_vel,0.21216581761837006,26034.0
forward_vel,0.2525264322757721,31000.0
forward_vel,0.2312534600496292,35000.0
forward_vel,0.2270466387271881,37025.0
forward_vel,0.22703616321086884,39102.0
forward_vel,0.27490630745887756,40576.0
forward_vel,0.31667181849479675,43596.0
forward_vel,0.3069389760494232,45796.0
forward_vel,0.3232364058494568,47937.0
forward_vel,0.3001338243484497,50494.0
forward_vel,0.33267804980278015,52733.0
forward_vel,0.3293326497077942,54877.0
forward_vel,0.3384700417518616,57912.0
forward_vel,0.38512787222862244,59401.0
forward_vel,0.41458651423454285,62555.0
forward_vel,0.43596509099006653,64997.0
forward_vel,0.44539546966552734,68366.0
forward_vel,0.4626799523830414,69667.0
forward_vel,0.4485788345336914,71070.0
forward_vel,0.44659286737442017,75070.0
forward_vel,0.48567962646484375,78280.0
forward_vel,0.5095909833908081,81385.0
forward_vel,0.5169525742530823,83703.0
forward_vel,0.5255893468856812,86958.0
forward_vel,0.5131888389587402,90958.0
forward_vel,0.5530369281768799,93578.0
forward_vel,0.5857641696929932,94704.0
forward_vel,0.552466630935669,96954.0
forward_vel,0.565189003944397,99329.0
forward_vel,0.5949108004570007,102876.0
forward_vel,0.5795624852180481,106876.0
forward_vel,0.5560265779495239,108547.0
forward_vel,0.5558354258537292,111869.0
forward_vel,0.5478091835975647,114736.0
forward_vel,0.6065205931663513,116539.0
forward_vel,0.6180309653282166,119774.0
forward_vel,0.6619411706924438,120178.0
forward_vel,0.7008310556411743,123287.0
forward_vel,0.6815453171730042,124807.0
forward_vel,0.6650521755218506,127414.0
forward_vel,0.6905888915061951,129718.0
forward_vel,0.7473841309547424,130041.0
forward_vel,0.7224459648132324,134041.0
forward_vel,0.7177901268005371,134761.0
forward_vel,0.7389467358589172,138761.0
forward_vel,0.7390527725219727,141404.0
forward_vel,0.7201314568519592,145404.0
forward_vel,0.7235242128372192,149199.0
forward_vel,0.7690762281417847,151802.0
forward_vel,0.8711449503898621,154168.0
forward_vel,0.8407613039016724,157534.0
forward_vel,0.8520965576171875,159870.0
forward_vel,0.8660404682159424,163137.0
forward_vel,1.0153028964996338,166804.0
forward_vel,0.9691632986068726,170000.0
forward_vel,1.048736810684204,170391.0
forward_vel,1.1257327795028687,172585.0
forward_vel,1.2457596063613892,175000.0
forward_vel,1.239434003829956,177737.0
forward_vel,1.1535109281539917,181291.0
forward_vel,1.1529412269592285,184049.0
forward_vel,1.1920417547225952,188000.0
forward_vel,1.1293950080871582,190239.0
forward_vel,1.1237927675247192,193413.0
forward_vel,1.1476573944091797,195707.0
forward_vel,1.157409429550171,199110.0
forward_vel,1.1173954010009766,202420.0
forward_vel,1.1626452207565308,205068.0
forward_vel,1.1735725402832031,208332.0
forward_vel,1.1779601573944092,211374.0
forward_vel,1.161192774772644,214934.0
forward_vel,1.1747444868087769,218525.0
forward_vel,1.131317138671875,221759.0
forward_vel,1.101395606994629,224710.0
forward_vel,1.0705997943878174,227941.0
forward_vel,1.0726640224456787,231465.0
forward_vel,1.0698708295822144,233902.0
forward_vel,1.1374958753585815,236990.0
forward_vel,1.1648962497711182,240990.0
forward_vel,1.263167381286621,245000.0
forward_vel,1.315967082977295,247588.0
forward_vel,1.448740839958191,250000.0
forward_vel,1.6354639530181885,254000.0
forward_vel,1.7975003719329834,258000.0
forward_vel,1.877015233039856,260835.0
forward_vel,1.8643230199813843,263535.0
forward_vel,1.825574278831482,266133.0
forward_vel,1.812643051147461,269424.0
forward_vel,1.8090723752975464,272123.0
forward_vel,1.7487848997116089,274726.0
forward_vel,1.7077223062515259,277901.0
forward_vel,1.6990071535110474,281089.0
forward_vel,1.7130358219146729,284365.0
forward_vel,1.6846436262130737,287413.0
forward_vel,1.6729791164398193,290853.0
forward_vel,1.6267304420471191,293889.0
forward_vel,1.6819181442260742,296350.0
forward_vel,1.6500622034072876,298529.0
forward_vel,1.5873173475265503,300995.0
forward_vel,1.583255648612976,303760.0
forward_vel,1.6301683187484741,306910.0
forward_vel,1.5820043087005615,309898.0
forward_vel,1.6009478569030762,312785.0
forward_vel,1.575706124305725,316272.0
forward_vel,1.5717320442199707,319299.0
forward_vel,1.5663951635360718,322260.0
forward_vel,1.5495306253433228,325627.0
forward_vel,1.4749317169189453,329627.0
forward_vel,1.4351388216018677,332055.0
