#{"t_start": 1623243895.1608016, "env_id": "quadruped-v1"}
r,l,t,reward_velocity,reward_energy,reward_distance,reward,penalty
197.910533,128,57.979939,0.00018650282914634193,9.697673267849968e-09,0.6456153912444155,0.645801903771235,0.0
0.157256,1,58.60778,1.0566001438742466e-20,0.006907974399039578,0.15034754956264973,0.15725552396168932,0.0
193.918345,128,125.591361,0.9999996944646167,0.9932940277532952,0.3232328504495552,2.3165265726674673,0.0
255.31641,128,201.300701,0.9985881900393151,2.0442304491488458e-06,0.2969000190029802,1.2954902532727444,0.0
222.088318,128,284.127704,0.000969351546334919,3.95653434460603e-22,0.1322191974976964,0.13318854904403132,0.0
247.47751,128,366.27866,0.9999988544568285,0.9166940838113902,0.10008174903232624,2.0167746873005448,0.0
276.236714,128,448.62093,0.9999967680796817,0.9110884132360552,0.4018389938557028,2.3129241751714398,0.0
235.248221,128,531.07362,0.9999970695068073,0.9162954839153924,0.10788147113638447,2.0241740245585844,0.0
261.218328,128,615.414417,0.9999984102541501,0.9166940898042893,0.3200816859461193,2.236774186004559,0.0
266.752679,128,698.579445,0.9999988981309781,0.9412854455639846,0.18354745757756472,2.1248318012725274,0.0
263.748878,128,785.172935,0.999999637245093,0.9911523610386797,0.339287838615714,2.3304398368994867,0.0
236.280265,128,871.559165,0.9999985472436973,0.9166940823098733,0.05331347191774677,1.9700061014713173,0.0
241.119747,128,960.419185,0.9999984355154882,0.9166940897704607,0.08745043537803393,2.004142960663983,0.0
314.530176,128,1048.774457,0.9999996802393224,0.9936376218195379,0.6017640783877747,2.595401380446635,0.0
249.117278,128,1139.157513,7.198232636538898e-07,4.2784248495425007e-07,0.20314830356820063,0.20314945123394926,0.0
265.392779,128,1230.279351,0.9999983293524537,0.9166940898775189,0.2432118954686273,2.1599043146985997,0.0
257.55594,128,1322.905395,0.999997959932966,0.9166411815523636,0.12013563208437962,2.036774773569709,0.0
262.857545,128,1413.495527,0.9999990810307783,0.9412854381405917,0.13691135954759082,2.0781958787189607,0.0
268.330234,128,1507.464451,0.9999983802065188,0.9166940898588998,0.17393555986151482,2.0906280299269335,0.0
315.63719,128,1604.145116,0.9999960946422184,0.9564703583881532,0.5296228288023432,2.4860892818327147,0.0
286.468644,128,1699.967038,0.9999996203490497,0.9921131191214758,0.3484297112162867,2.3405424506868124,0.0
240.734821,128,1794.860903,0.999994233039025,0.029855542506635618,0.1420115715925608,1.1718613471382213,0.0
270.43355,128,1891.549793,0.9999984434300828,0.9166940857750197,0.23821651066835056,2.154909039873453,0.0
326.160395,128,1988.986523,0.9999984874440373,0.9166940897672174,0.6463707080463337,2.5630632852575883,0.0
266.263222,128,2085.70457,0.9999983619336363,0.9166940857777836,0.17131542855042853,2.0880078762618486,0.0
274.127722,128,2182.661349,0.9999984614673905,0.9166940650803406,0.2520596892115353,2.168752215759266,0.0
237.444374,128,2282.235916,0.9999027369173688,0.9965529770335352,0.08777360575860452,2.0842293197095083,0.0
249.409237,128,2380.870728,0.9999997577629121,0.9922416859681891,0.048803189511653404,2.0410446332427545,0.0
291.910899,128,2479.011714,0.9999965817602362,0.95639996887382,0.37723520957618856,2.3336317602102445,0.0
272.469313,128,2580.965082,0.9999984004723478,0.9166940898774267,0.25082821541840983,2.167520705768184,0.0
280.52814,128,2683.254533,0.999998454664643,0.9166940897704617,0.27267835047910716,2.189370894914212,0.0
267.735675,128,2784.599557,0.9999983475617897,0.9166940880673412,0.17329263348472365,2.0899850691138546,0.0
261.285417,128,2884.597659,0.9999996492215849,0.9934407040294074,0.15844957719251615,2.1518899304435086,0.0
254.540052,128,2980.671937,0.9999984102728361,0.9166940899210093,0.08717926514274774,2.003871765336593,0.0
254.859317,128,3081.407961,0.9999985274319095,0.9166940897636713,0.07372595532185829,1.990418572517439,0.0
253.048303,128,3182.382779,0.9999997552624146,0.9922416859681891,0.06041456058688298,2.0526560018174864,0.0
263.650072,128,3284.171841,0.9999967023887754,0.9144231884751065,0.17505028816190996,2.089470179025792,0.0
260.874797,128,3379.730917,0.9999967202977443,0.9147060549347733,0.11351135217546372,2.0282141274079812,0.0
279.893004,128,3477.499488,0.9999983262435234,0.9166940900534184,0.2585927898138613,2.175285206110803,0.0
259.458059,128,3571.642321,0.9974235245144534,0.9507964982679853,0.07470107706226535,2.0229210998447043,0.0
255.383573,128,3668.174033,0.9999983544769344,0.9166940900166064,0.06822867736663189,1.9849211218601726,0.0
269.945784,128,3762.050093,0.9999982866421884,0.9166940846342951,0.17405168305643173,2.0907440543329154,0.0
314.3414,128,3855.849843,0.9999996859160835,0.9927559927292441,0.5338579568538775,2.526613635499205,0.0
258.329725,128,3947.690476,0.9999997017345913,0.9921712267132227,0.09055792034929387,2.0827288487971076,0.0
266.522519,128,4034.506303,0.9999997609548491,0.9933903013007809,0.17823351810771468,2.171623580363345,0.0
258.079988,128,4124.917566,0.9999967084021283,0.9147149205537247,0.1035174462100798,2.018229075165933,0.0
263.749185,128,4217.573184,0.9999982835410148,0.9166940843933671,0.12644319649538882,2.043135564429771,0.0
328.404832,128,4308.859784,0.999999796597917,0.9936810319392537,0.6497477807785095,2.6434286093156802,0.0
268.815974,128,4400.749154,0.9999958489182575,0.9535249918080742,0.1887482781320832,2.142269118858415,0.0
