#{"t_start": 1623243895.0048532, "env_id": "quadruped-v1"}
r,l,t,reward_velocity,reward_energy,reward_distance,reward,penalty
183.962355,128,57.798668,0.9999958144664616,0.03109430340363239,0.5910549853726834,1.6221451032427774,0.0
233.298979,128,124.430892,0.016895521740011632,0.0010804909246527542,0.5796984480499963,0.5976744607146607,0.0
240.951728,128,199.489971,0.9999920207344758,0.8915765299600654,0.23003839416059435,2.1216069448551353,0.0
250.858983,128,282.104151,0.9999994576154314,0.9166940843138598,0.19033247587628357,2.107026017805575,0.0
235.421442,128,363.575736,0.9999982610973521,0.42482209483485,0.13089407596259658,1.5557144318947986,0.0
253.407065,128,445.665588,0.9999995779561089,0.9895830530334786,0.16216969482572943,2.151752325815317,0.0
271.659424,128,527.957375,0.9999990809699011,0.9412854381405917,0.374066471692448,2.3153509908029406,0.0
246.750873,128,611.685528,0.9999985664076668,0.91669400383465,0.26153806769483007,2.1782306379371468,0.0
263.192078,128,695.000082,0.999998332433153,0.9166940893856499,0.3368096736636318,2.2535020954824345,0.0
263.431485,128,781.010925,0.9999986482021792,0.9166940845772446,0.210643833281126,2.1273365660605497,0.0
251.766454,128,867.039685,0.9999984630808847,0.9166940897704617,0.17423427088176852,2.090926823733115,0.0
250.774036,128,956.180005,0.9999983801940832,0.916694086015595,0.1746188601652851,2.091311326374963,0.0
264.597752,128,1044.107077,0.9999798034063612,0.915552875439527,0.20149048737931727,2.1170231662252057,0.0
259.979335,128,1134.199829,0.9999930585672369,0.9555211532196983,0.0876904673942303,2.0432046791811658,0.0
354.005377,128,1225.518949,0.9999965505201921,0.9563967440490243,0.9029819935038086,2.859375288073025,0.0
249.679017,128,1317.993146,0.9999984615402718,0.916694085019904,0.22801941548482976,2.1447119620450055,0.0
293.813657,128,1408.263237,0.9999997301931135,0.9933300250185837,0.37424906726742496,2.367578822479122,0.0
268.063949,128,1501.097219,0.9989283439278172,0.9936856928993536,0.20469496871303294,2.1973090055402036,0.0
266.046974,128,1597.403602,0.9999981892761822,0.9166939333740705,0.16828899068839545,2.084981113338648,0.0
331.447167,128,1692.939426,0.9999984809832739,0.9166940850199041,0.6780620177425005,2.5947545837456785,0.0
237.291503,128,1786.6824,0.9999984960923854,0.916694085019904,0.06417202072309755,1.9808646018353868,0.0
261.289747,128,1883.876343,0.9999982162697764,0.9166939556746018,0.122988899253351,2.0396810711977293,0.0
254.587518,128,1979.884583,0.9999965485425314,0.9563967440492757,0.1316449166022763,2.0880382091940834,0.0
252.26215,128,2076.167043,0.9999983978965323,0.9166940897956694,0.12199835666781422,2.038690844360016,0.0
268.875798,128,2172.885253,0.9999984151921487,0.9166940898205916,0.2002081327428667,2.116900637755607,0.0
277.052044,128,2272.085419,0.9999996533486942,0.9931136356448212,0.2513545922290415,2.244467881222557,0.0
255.998839,128,2370.512229,0.9999983568965135,0.9166937495534799,0.07550741751954045,1.9921995239695338,0.0
0.405323,1,2378.405649,9.720257415477749e-45,0.10650132138175256,0.2988218652838367,0.40532318666558925,0.0
263.594928,128,2476.387749,0.9999981596942212,0.9166938965232022,0.14420547397941844,2.0608975301968417,0.0
271.419977,128,2578.374275,0.9999983587520007,0.9166940898594106,0.2263597364555695,2.143052185066981,0.0
254.84879,128,2679.178769,0.9999984117663867,0.9166940899668411,0.10877951522114028,2.0254720169543683,0.0
287.766547,128,2780.360824,0.9999984689481296,0.9166940897672174,0.3693089958193395,2.2860015545346863,0.0
282.534945,128,2880.310287,0.9999962408377815,0.9564703583881532,0.29239587590237703,2.2488624751283117,0.0
274.600221,128,2976.15118,0.9999983446833236,0.9166940899691095,0.2195614616551868,2.13625389630762,0.0
259.196917,128,3076.719155,0.9999994713520381,0.9653188407358252,0.1601503461464409,2.125468658234304,0.0
282.946181,128,3177.677393,0.9999972082411172,0.9151080873120238,0.33622413162500076,2.251329427178142,0.0
259.932182,128,3279.257972,0.999999684754353,0.9929310587238769,0.10924770150239561,2.1021784449806256,0.0
289.849045,128,3374.748187,0.9999981537238122,0.9601653525715851,0.364807783738849,2.324971290034246,0.0
266.083285,128,3472.47587,0.9999984241498777,0.9166940898042893,0.15834122695029018,2.0750337409044572,0.0
261.106375,128,3568.117542,0.9999997036816002,0.9933824426167681,0.1192082429776007,2.1125903892759688,0.0
248.880512,128,3664.574774,0.9996796494396694,0.995513714099933,0.11728219366746848,2.1124755572070706,0.0
262.040894,128,3758.373258,0.992490333845696,0.9500883813216028,0.1360456684440165,2.078624383611315,0.0
264.605541,128,3852.237068,0.9999997288866646,0.993625932755575,0.1299939630774886,2.123619624719728,0.0
258.04871,128,3943.89372,0.9999964364117857,0.9135200691880447,0.09004179450060117,2.0035583001004316,0.0
259.237632,128,4030.770107,0.9999982362351973,0.9166940902951733,0.08591407339631199,2.0026063999266825,0.0
260.892676,128,4121.082339,0.9999983378194635,0.916694090283336,0.10396159108037997,2.0206540191831794,0.0
261.693811,128,4215.572241,0.9999954509295425,0.8951106783848292,0.11008492214836953,2.005191051462741,0.0
263.438329,128,4306.738772,0.9999984352176474,0.916694090194609,0.12630777609277596,2.0430003015050326,0.0
280.088418,128,4398.656148,0.9808800808657084,0.962356554086965,0.23969877408520415,2.182935409037878,0.0
