Wall time,Step,Value
1630930229.8596518,1,1.5457428693771362
1630930265.3248165,2,0.9951766133308411
1630930293.1666808,3,0.5681358575820923
1630930319.2029545,4,0.3529527485370636
1630930344.5730202,5,0.29383358359336853
1630930373.3899977,6,0.2545681893825531
1630930398.5814638,7,0.21069364249706268
1630930423.8798451,8,0.17366936802864075
1630930449.2644536,9,0.15141285955905914
1630930474.6145067,10,0.138111412525177
1630930503.0641248,11,0.1320071667432785
1630930528.3125484,12,0.1195889487862587
1630930553.3749323,13,0.11163640022277832
1630930578.5557494,14,0.10505650192499161
1630930603.8850634,15,0.099341481924057
1630930632.2724307,16,0.09407863765954971
1630930657.4404507,17,0.08970624953508377
1630930682.6544802,18,0.08637861162424088
1630930707.8128657,19,0.08213277906179428
1630930733.39044,20,0.07892575860023499
1630930761.995128,21,0.07596974074840546
1630930787.253576,22,0.07563754916191101
1630930812.4666872,23,0.07040514796972275
1630930837.5897915,24,0.0702470988035202
1630930862.8685703,25,0.0665677860379219
1630930891.3143716,26,0.0665440708398819
1630930916.687705,27,0.062022387981414795
1630930941.9227493,28,0.06356540322303772
1630930967.2585933,29,0.06150573864579201
1630930992.3699076,30,0.05937191843986511
1630931020.7131374,31,0.05741411820054054
1630931045.9384954,32,0.055922042578458786
1630931070.882803,33,0.05379844829440117
1630931095.9155726,34,0.0532953217625618
1630931120.9238446,35,0.052250560373067856
1630931149.5283377,36,0.05019064247608185
1630931174.6540706,37,0.05092068389058113
1630931199.741044,38,0.049284182488918304
1630931224.8889499,39,0.04887356981635094
1630931250.031934,40,0.04722630977630615
1630931278.714063,41,0.04636550322175026
1630931303.6580074,42,0.045178402215242386
1630931329.0417397,43,0.04503587260842323
1630931353.8769155,44,0.04389399662613869
1630931379.0831292,45,0.043914373964071274
1630931407.702957,46,0.04207715019583702
1630931432.5426612,47,0.0412660650908947
1630931457.420555,48,0.04083568975329399
1630931482.5312262,49,0.04088636860251427
1630931507.8382692,50,0.03971968591213226
1630931536.3586645,51,0.04007474705576897
1630931561.5754466,52,0.038709525018930435
1630931586.563898,53,0.03791454806923866
1630931611.810569,54,0.03763988986611366
1630931637.1151567,55,0.037362076342105865
1630931665.5973353,56,0.03780146315693855
1630931691.338322,57,0.036907073110342026
1630931716.8051288,58,0.03647932782769203
1630931741.8658934,59,0.036121342331171036
1630931767.191894,60,0.03644603490829468
1630931795.5955257,61,0.03586560860276222
1630931820.885869,62,0.03492691367864609
1630931846.0340228,63,0.035053595900535583
1630931871.3050928,64,0.033466044813394547
1630931896.7964084,65,0.03460828959941864
1630931925.3332362,66,0.03320014849305153
1630931950.9301221,67,0.03338032215833664
1630931976.2238493,68,0.03425968065857887
1630932001.7239363,69,0.034593626856803894
1630932027.3879547,70,0.03259582072496414
1630932055.9087577,71,0.0316314734518528
1630932081.3064187,72,0.03181561827659607
1630932107.2655296,73,0.03171096369624138
1630932132.3924532,74,0.031119773164391518
1630932157.6767752,75,0.031403135508298874
1630932186.156541,76,0.031695492565631866
1630932211.2891202,77,0.03142965957522392
1630932236.5123162,78,0.03158227726817131
1630932261.61588,79,0.03060450777411461
1630932286.9914024,80,0.03027249127626419
1630932315.3976166,81,0.029025621712207794
1630932340.6920216,82,0.03077777288854122
1630932365.9885085,83,0.02902851067483425
1630932391.187894,84,0.029566235840320587
1630932416.5973845,85,0.028777575120329857
1630932444.9000316,86,0.029571082442998886
1630932470.124968,87,0.02939796820282936
1630932495.519163,88,0.030636731535196304
1630932520.6938689,89,0.02848806604743004
1630932545.8464274,90,0.02872379682958126
1630932574.3464916,91,0.028808802366256714
1630932599.8073492,92,0.028283100575208664
1630932625.1516125,93,0.027181895449757576
1630932650.3478367,94,0.029162364080548286
1630932675.5670998,95,0.027070926502346992
1630932703.9221156,96,0.02863796055316925
1630932729.32918,97,0.027808263897895813
1630932754.318195,98,0.028582407161593437
1630932779.3670607,99,0.027440013363957405
1630932804.418198,100,0.027053484693169594
